id,name,category,price,stock
1,electronics-1,electronics,1.37,7
2,clothing-2,clothing,2.74,14
3,books-3,books,4.11,21
4,home-4,home,5.48,28
5,toys-5,toys,6.85,35
6,food-6,food,8.22,42
7,electronics-7,electronics,9.59,49
8,clothing-8,clothing,10.96,56
9,books-9,books,12.33,63
10,home-10,home,13.70,70
11,toys-11,toys,15.07,77
12,food-12,food,16.44,84
13,electronics-13,electronics,17.81,91
14,clothing-14,clothing,19.18,98
15,books-15,books,20.55,105
16,home-16,home,21.92,112
17,toys-17,toys,23.29,119
18,food-18,food,24.66,126
19,electronics-19,electronics,26.03,133
20,clothing-20,clothing,27.40,140
21,books-21,books,28.77,147
22,home-22,home,30.14,154
23,toys-23,toys,31.51,161
24,food-24,food,32.88,168
25,electronics-25,electronics,34.25,175
26,clothing-26,clothing,35.62,182
27,books-27,books,36.99,189
28,home-28,home,38.36,196
29,toys-29,toys,39.73,203
30,food-30,food,41.10,210
31,electronics-31,electronics,42.47,217
32,clothing-32,clothing,43.84,224
33,books-33,books,45.21,231
34,home-34,home,46.58,238
35,toys-35,toys,47.95,245
36,food-36,food,49.32,252
37,electronics-37,electronics,50.69,259
38,clothing-38,clothing,52.06,266
39,books-39,books,53.43,273
40,home-40,home,54.80,280
41,toys-41,toys,56.17,287
42,food-42,food,57.54,294
43,electronics-43,electronics,58.91,301
44,clothing-44,clothing,60.28,308
45,books-45,books,61.65,315
46,home-46,home,63.02,322
47,toys-47,toys,64.39,329
48,food-48,food,65.76,336
49,electronics-49,electronics,67.13,343
50,clothing-50,clothing,68.50,350
51,books-51,books,69.87,357
52,home-52,home,71.24,364
53,toys-53,toys,72.61,371
54,food-54,food,73.98,378
55,electronics-55,electronics,75.35,385
56,clothing-56,clothing,76.72,392
57,books-57,books,78.09,399
58,home-58,home,79.46,406
59,toys-59,toys,80.83,413
60,food-60,food,82.20,420
61,electronics-61,electronics,83.57,427
62,clothing-62,clothing,84.94,434
63,books-63,books,86.31,441
64,home-64,home,87.68,448
65,toys-65,toys,89.05,455
66,food-66,food,90.42,462
67,electronics-67,electronics,91.79,469
68,clothing-68,clothing,93.16,476
69,books-69,books,94.53,483
70,home-70,home,95.90,490
71,toys-71,toys,97.27,497
72,food-72,food,98.64,3
73,electronics-73,electronics,0.01,10
74,clothing-74,clothing,1.38,17
75,books-75,books,2.75,24
76,home-76,home,4.12,31
77,toys-77,toys,5.49,38
78,food-78,food,6.86,45
79,electronics-79,electronics,8.23,52
80,clothing-80,clothing,9.60,59
81,books-81,books,10.97,66
82,home-82,home,12.34,73
83,toys-83,toys,13.71,80
84,food-84,food,15.08,87
85,electronics-85,electronics,16.45,94
86,clothing-86,clothing,17.82,101
87,books-87,books,19.19,108
88,home-88,home,20.56,115
89,toys-89,toys,21.93,122
90,food-90,food,23.30,129
91,electronics-91,electronics,24.67,136
92,clothing-92,clothing,26.04,143
93,books-93,books,27.41,150
94,home-94,home,28.78,157
95,toys-95,toys,30.15,164
96,food-96,food,31.52,171
97,electronics-97,electronics,32.89,178
98,clothing-98,clothing,34.26,185
99,books-99,books,35.63,192
100,home-100,home,37.00,199
101,toys-101,toys,38.37,206
102,food-102,food,39.74,213
103,electronics-103,electronics,41.11,220
104,clothing-104,clothing,42.48,227
105,books-105,books,43.85,234
106,home-106,home,45.22,241
107,toys-107,toys,46.59,248
108,food-108,food,47.96,255
109,electronics-109,electronics,49.33,262
110,clothing-110,clothing,50.70,269
111,books-111,books,52.07,276
112,home-112,home,53.44,283
113,toys-113,toys,54.81,290
114,food-114,food,56.18,297
115,electronics-115,electronics,57.55,304
116,clothing-116,clothing,58.92,311
117,books-117,books,60.29,318
118,home-118,home,61.66,325
119,toys-119,toys,63.03,332
120,food-120,food,64.40,339
121,electronics-121,electronics,65.77,346
122,clothing-122,clothing,67.14,353
123,books-123,books,68.51,360
124,home-124,home,69.88,367
125,toys-125,toys,71.25,374
126,food-126,food,72.62,381
127,electronics-127,electronics,73.99,388
128,clothing-128,clothing,75.36,395
129,books-129,books,76.73,402
130,home-130,home,78.10,409
131,toys-131,toys,79.47,416
132,food-132,food,80.84,423
133,electronics-133,electronics,82.21,430
134,clothing-134,clothing,83.58,437
135,books-135,books,84.95,444
136,home-136,home,86.32,451
137,toys-137,toys,87.69,458
138,food-138,food,89.06,465
139,electronics-139,electronics,90.43,472
140,clothing-140,clothing,91.80,479
141,books-141,books,93.17,486
142,home-142,home,94.54,493
143,toys-143,toys,95.91,500
144,food-144,food,97.28,6
145,electronics-145,electronics,98.65,13
146,clothing-146,clothing,0.02,20
147,books-147,books,1.39,27
148,home-148,home,2.76,34
149,toys-149,toys,4.13,41
150,food-150,food,5.50,48
151,electronics-151,electronics,6.87,55
152,clothing-152,clothing,8.24,62
153,books-153,books,9.61,69
154,home-154,home,10.98,76
155,toys-155,toys,12.35,83
156,food-156,food,13.72,90
157,electronics-157,electronics,15.09,97
158,clothing-158,clothing,16.46,104
159,books-159,books,17.83,111
160,home-160,home,19.20,118
161,toys-161,toys,20.57,125
162,food-162,food,21.94,132
163,electronics-163,electronics,23.31,139
164,clothing-164,clothing,24.68,146
165,books-165,books,26.05,153
166,home-166,home,27.42,160
167,toys-167,toys,28.79,167
168,food-168,food,30.16,174
169,electronics-169,electronics,31.53,181
170,clothing-170,clothing,32.90,188
171,books-171,books,34.27,195
172,home-172,home,35.64,202
173,toys-173,toys,37.01,209
174,food-174,food,38.38,216
175,electronics-175,electronics,39.75,223
176,clothing-176,clothing,41.12,230
177,books-177,books,42.49,237
178,home-178,home,43.86,244
179,toys-179,toys,45.23,251
180,food-180,food,46.60,258
181,electronics-181,electronics,47.97,265
182,clothing-182,clothing,49.34,272
183,books-183,books,50.71,279
184,home-184,home,52.08,286
185,toys-185,toys,53.45,293
186,food-186,food,54.82,300
187,electronics-187,electronics,56.19,307
188,clothing-188,clothing,57.56,314
189,books-189,books,58.93,321
190,home-190,home,60.30,328
191,toys-191,toys,61.67,335
192,food-192,food,63.04,342
193,electronics-193,electronics,64.41,349
194,clothing-194,clothing,65.78,356
195,books-195,books,67.15,363
196,home-196,home,68.52,370
197,toys-197,toys,69.89,377
198,food-198,food,71.26,384
199,electronics-199,electronics,72.63,391
200,clothing-200,clothing,74.00,398
201,books-201,books,75.37,405
202,home-202,home,76.74,412
203,toys-203,toys,78.11,419
204,food-204,food,79.48,426
205,electronics-205,electronics,80.85,433
206,clothing-206,clothing,82.22,440
207,books-207,books,83.59,447
208,home-208,home,84.96,454
209,toys-209,toys,86.33,461
210,food-210,food,87.70,468
211,electronics-211,electronics,89.07,475
212,clothing-212,clothing,90.44,482
213,books-213,books,91.81,489
214,home-214,home,93.18,496
215,toys-215,toys,94.55,2
216,food-216,food,95.92,9
217,electronics-217,electronics,97.29,16
218,clothing-218,clothing,98.66,23
219,books-219,books,0.03,30
220,home-220,home,1.40,37
221,toys-221,toys,2.77,44
222,food-222,food,4.14,51
223,electronics-223,electronics,5.51,58
224,clothing-224,clothing,6.88,65
225,books-225,books,8.25,72
226,home-226,home,9.62,79
227,toys-227,toys,10.99,86
228,food-228,food,12.36,93
229,electronics-229,electronics,13.73,100
230,clothing-230,clothing,15.10,107
231,books-231,books,16.47,114
232,home-232,home,17.84,121
233,toys-233,toys,19.21,128
234,food-234,food,20.58,135
235,electronics-235,electronics,21.95,142
236,clothing-236,clothing,23.32,149
237,books-237,books,24.69,156
238,home-238,home,26.06,163
239,toys-239,toys,27.43,170
240,food-240,food,28.80,177
241,electronics-241,electronics,30.17,184
242,clothing-242,clothing,31.54,191
243,books-243,books,32.91,198
244,home-244,home,34.28,205
245,toys-245,toys,35.65,212
246,food-246,food,37.02,219
247,electronics-247,electronics,38.39,226
248,clothing-248,clothing,39.76,233
249,books-249,books,41.13,240
250,home-250,home,42.50,247
251,toys-251,toys,43.87,254
252,food-252,food,45.24,261
253,electronics-253,electronics,46.61,268
254,clothing-254,clothing,47.98,275
255,books-255,books,49.35,282
256,home-256,home,50.72,289
257,toys-257,toys,52.09,296
258,food-258,food,53.46,303
259,electronics-259,electronics,54.83,310
260,clothing-260,clothing,56.20,317
261,books-261,books,57.57,324
262,home-262,home,58.94,331
263,toys-263,toys,60.31,338
264,food-264,food,61.68,345
265,electronics-265,electronics,63.05,352
266,clothing-266,clothing,64.42,359
267,books-267,books,65.79,366
268,home-268,home,67.16,373
269,toys-269,toys,68.53,380
270,food-270,food,69.90,387
271,electronics-271,electronics,71.27,394
272,clothing-272,clothing,72.64,401
273,books-273,books,74.01,408
274,home-274,home,75.38,415
275,toys-275,toys,76.75,422
276,food-276,food,78.12,429
277,electronics-277,electronics,79.49,436
278,clothing-278,clothing,80.86,443
279,books-279,books,82.23,450
280,home-280,home,83.60,457
281,toys-281,toys,84.97,464
282,food-282,food,86.34,471
283,electronics-283,electronics,87.71,478
284,clothing-284,clothing,89.08,485
285,books-285,books,90.45,492
286,home-286,home,91.82,499
287,toys-287,toys,93.19,5
288,food-288,food,94.56,12
289,electronics-289,electronics,95.93,19
290,clothing-290,clothing,97.30,26
291,books-291,books,98.67,33
292,home-292,home,0.04,40
293,toys-293,toys,1.41,47
294,food-294,food,2.78,54
295,electronics-295,electronics,4.15,61
296,clothing-296,clothing,5.52,68
297,books-297,books,6.89,75
298,home-298,home,8.26,82
299,toys-299,toys,9.63,89
300,food-300,food,11.00,96
301,electronics-301,electronics,12.37,103
302,clothing-302,clothing,13.74,110
303,books-303,books,15.11,117
304,home-304,home,16.48,124
305,toys-305,toys,17.85,131
306,food-306,food,19.22,138
307,electronics-307,electronics,20.59,145
308,clothing-308,clothing,21.96,152
309,books-309,books,23.33,159
310,home-310,home,24.70,166
311,toys-311,toys,26.07,173
312,food-312,food,27.44,180
313,electronics-313,electronics,28.81,187
314,clothing-314,clothing,30.18,194
315,books-315,books,31.55,201
316,home-316,home,32.92,208
317,toys-317,toys,34.29,215
318,food-318,food,35.66,222
319,electronics-319,electronics,37.03,229
320,clothing-320,clothing,38.40,236
321,books-321,books,39.77,243
322,home-322,home,41.14,250
323,toys-323,toys,42.51,257
324,food-324,food,43.88,264
325,electronics-325,electronics,45.25,271
326,clothing-326,clothing,46.62,278
327,books-327,books,47.99,285
328,home-328,home,49.36,292
329,toys-329,toys,50.73,299
330,food-330,food,52.10,306
331,electronics-331,electronics,53.47,313
332,clothing-332,clothing,54.84,320
333,books-333,books,56.21,327
334,home-334,home,57.58,334
335,toys-335,toys,58.95,341
336,food-336,food,60.32,348
337,electronics-337,electronics,61.69,355
338,clothing-338,clothing,63.06,362
339,books-339,books,64.43,369
340,home-340,home,65.80,376
341,toys-341,toys,67.17,383
342,food-342,food,68.54,390
343,electronics-343,electronics,69.91,397
344,clothing-344,clothing,71.28,404
345,books-345,books,72.65,411
346,home-346,home,74.02,418
347,toys-347,toys,75.39,425
348,food-348,food,76.76,432
349,electronics-349,electronics,78.13,439
350,clothing-350,clothing,79.50,446
351,books-351,books,80.87,453
352,home-352,home,82.24,460
353,toys-353,toys,83.61,467
354,food-354,food,84.98,474
355,electronics-355,electronics,86.35,481
356,clothing-356,clothing,87.72,488
357,books-357,books,89.09,495
358,home-358,home,90.46,1
359,toys-359,toys,91.83,8
360,food-360,food,93.20,15
361,electronics-361,electronics,94.57,22
362,clothing-362,clothing,95.94,29
363,books-363,books,97.31,36
364,home-364,home,98.68,43
365,toys-365,toys,0.05,50
366,food-366,food,1.42,57
367,electronics-367,electronics,2.79,64
368,clothing-368,clothing,4.16,71
369,books-369,books,5.53,78
370,home-370,home,6.90,85
371,toys-371,toys,8.27,92
372,food-372,food,9.64,99
373,electronics-373,electronics,11.01,106
374,clothing-374,clothing,12.38,113
375,books-375,books,13.75,120
376,home-376,home,15.12,127
377,toys-377,toys,16.49,134
378,food-378,food,17.86,141
379,electronics-379,electronics,19.23,148
380,clothing-380,clothing,20.60,155
381,books-381,books,21.97,162
382,home-382,home,23.34,169
383,toys-383,toys,24.71,176
384,food-384,food,26.08,183
385,electronics-385,electronics,27.45,190
386,clothing-386,clothing,28.82,197
387,books-387,books,30.19,204
388,home-388,home,31.56,211
389,toys-389,toys,32.93,218
390,food-390,food,34.30,225
391,electronics-391,electronics,35.67,232
392,clothing-392,clothing,37.04,239
393,books-393,books,38.41,246
394,home-394,home,39.78,253
395,toys-395,toys,41.15,260
396,food-396,food,42.52,267
397,electronics-397,electronics,43.89,274
398,clothing-398,clothing,45.26,281
399,books-399,books,46.63,288
400,home-400,home,48.00,295
401,toys-401,toys,49.37,302
402,food-402,food,50.74,309
403,electronics-403,electronics,52.11,316
404,clothing-404,clothing,53.48,323
405,books-405,books,54.85,330
406,home-406,home,56.22,337
407,toys-407,toys,57.59,344
408,food-408,food,58.96,351
409,electronics-409,electronics,60.33,358
410,clothing-410,clothing,61.70,365
411,books-411,books,63.07,372
412,home-412,home,64.44,379
413,toys-413,toys,65.81,386
414,food-414,food,67.18,393
415,electronics-415,electronics,68.55,400
416,clothing-416,clothing,69.92,407
417,books-417,books,71.29,414
418,home-418,home,72.66,421
419,toys-419,toys,74.03,428
420,food-420,food,75.40,435
421,electronics-421,electronics,76.77,442
422,clothing-422,clothing,78.14,449
423,books-423,books,79.51,456
424,home-424,home,80.88,463
425,toys-425,toys,82.25,470
426,food-426,food,83.62,477
427,electronics-427,electronics,84.99,484
428,clothing-428,clothing,86.36,491
